project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
julialang/julia	3	Wed Oct 12 04:26:22 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	215	Fri Oct 14 23:58:14 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	96	Sat Oct 15 00:17:23 MDT 2011	jeffbezanson	1	831	viralbshah, jeffbezanson
julialang/julia	221	Sat Oct 15 06:55:14 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	222	Sat Oct 15 23:51:15 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	223	Sun Oct 16 00:08:44 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	211	Sun Oct 16 08:13:19 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	165	Sun Oct 16 08:14:26 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	221	Sun Oct 16 19:20:23 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	222	Sun Oct 16 23:56:51 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	226	Mon Oct 17 04:02:09 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	226	Mon Oct 17 04:44:40 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	227	Mon Oct 17 15:49:57 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	230	Mon Oct 17 22:08:25 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	231	Mon Oct 17 22:32:47 MDT 2011	viralbshah	2	831	viralbshah
julialang/julia	233	Tue Oct 18 17:38:36 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	233	Tue Oct 18 17:40:16 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	235	Tue Oct 18 18:52:29 MDT 2011	jeffbezanson	1	831	jeffbezanson
julialang/julia	236	Thu Oct 20 15:09:03 MDT 2011	viralbshah	2	831	viralbshah
