project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	133	Fri Feb 17 19:23:33 MST 2012	njx	2	864	njx
adobe/brackets	251	Fri Feb 17 22:20:08 MST 2012	peterflynn	1	864	peterflynn, njx
adobe/brackets	88	Fri Feb 17 22:52:48 MST 2012	peterflynn	1	864	peterflynn, gruehle
adobe/brackets	76	Fri Feb 17 23:00:34 MST 2012	peterflynn	1	864	peterflynn, njx
adobe/brackets	149	Fri Feb 17 23:48:52 MST 2012	peterflynn	1	864	peterflynn, jasonsanjose
adobe/brackets	99	Fri Feb 17 23:50:09 MST 2012	peterflynn	1	864	peterflynn, gruehle
adobe/brackets	281	Tue Feb 21 19:03:57 MST 2012	gruehle	6	864	gruehle
adobe/brackets	138	Tue Feb 21 19:41:59 MST 2012	njx	3	864	chrisbank, njx
adobe/brackets	271	Wed Feb 22 23:06:24 MST 2012	njx	2	864	njx
adobe/brackets	314	Fri Feb 24 20:39:30 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	304	Tue Feb 28 18:50:57 MST 2012	jlondon	9	864	jlondon
adobe/brackets	316	Tue Feb 28 22:52:10 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	106	Tue Feb 28 23:44:40 MST 2012	njx	2	864	njx
adobe/brackets	272	Tue Feb 28 23:58:39 MST 2012	njx	2	864	njx
adobe/brackets	309	Wed Feb 29 01:38:22 MST 2012	njx	2	864	njx
adobe/brackets	103	Wed Feb 29 16:04:41 MST 2012	redmunds	5	864	redmunds
adobe/brackets	137	Thu Mar 01 00:18:30 MST 2012	njx	2	864	njx
adobe/brackets	344	Thu Mar 01 01:58:00 MST 2012	njx	2	864	njx
adobe/brackets	367	Thu Mar 01 23:17:32 MST 2012	redmunds	3	864	redmunds
adobe/brackets	356	Fri Mar 02 05:25:48 MST 2012	chrisbank	9	864	chrisbank
adobe/brackets	341	Fri Mar 02 07:21:32 MST 2012	njx	3	864	njx
adobe/brackets	345	Fri Mar 02 16:58:04 MST 2012	redmunds	4	864	redmunds
adobe/brackets	378	Fri Mar 02 22:46:49 MST 2012	njx	1	864	njx
adobe/brackets	366	Fri Mar 02 23:21:51 MST 2012	redmunds	2	864	redmunds
adobe/brackets	347	Fri Mar 02 23:25:57 MST 2012	redmunds	1	864	redmunds
adobe/brackets	343	Fri Mar 02 23:43:35 MST 2012	redmunds	1	864	redmunds
adobe/brackets	285	Fri Mar 02 23:55:39 MST 2012	redmunds	1	864	redmunds
adobe/brackets	102	Fri Mar 02 23:59:15 MST 2012	redmunds	1	864	redmunds, tvoliter
adobe/brackets	386	Sat Mar 03 00:06:54 MST 2012	redmunds	1	864	redmunds
adobe/brackets	349	Sat Mar 03 00:10:18 MST 2012	redmunds	1	864	redmunds
adobe/brackets	388	Sat Mar 03 00:13:45 MST 2012	jasonsanjose	6	864	jasonsanjose
adobe/brackets	385	Sat Mar 03 00:14:24 MST 2012	jasonsanjose	2	864	jasonsanjose
adobe/brackets	340	Sat Mar 03 00:20:00 MST 2012	njx	3	864	njx
adobe/brackets	387	Sat Mar 03 00:31:13 MST 2012	tvoliter	7	864	tvoliter
adobe/brackets	380	Sat Mar 03 00:34:31 MST 2012	tvoliter	1	864	tvoliter
adobe/brackets	338	Sat Mar 03 01:05:14 MST 2012	redmunds	3	864	redmunds
adobe/brackets	332	Sat Mar 03 01:14:54 MST 2012	jlondon	9	864	jlondon
adobe/brackets	375	Sat Mar 03 01:15:09 MST 2012	jasonsanjose	5	864	jasonsanjose
adobe/brackets	310	Sat Mar 03 01:15:10 MST 2012	jlondon	1	864	jlondon
adobe/brackets	390	Sat Mar 03 01:22:29 MST 2012	njx	3	864	njx
adobe/brackets	365	Sat Mar 03 02:10:08 MST 2012	gruehle	9	864	gruehle
adobe/brackets	339	Sat Mar 03 02:28:01 MST 2012	njx	2	864	njx
adobe/brackets	383	Sat Mar 03 20:44:22 MST 2012	redmunds	2	864	redmunds
adobe/brackets	317	Sun Mar 04 05:25:30 MST 2012	peterflynn	6	864	peterflynn
adobe/brackets	363	Sun Mar 04 16:43:21 MST 2012	tvoliter	4	864	tvoliter
adobe/brackets	329	Sun Mar 04 19:16:37 MST 2012	njx	3	864	njx
adobe/brackets	350	Sun Mar 04 22:21:51 MST 2012	peterflynn	4	864	peterflynn
adobe/brackets	313	Sun Mar 04 22:25:49 MST 2012	peterflynn	1	864	peterflynn
